Datetime,Geolat,Geolon
2002-03-18T14:45:00Z,41.95,158.35
2002-03-18T14:46:00Z,45.38,160.04
2002-03-18T14:47:00Z,48.77,161.99
2002-03-18T14:48:00Z,52.11,164.25
2002-03-18T14:49:00Z,55.4,166.92
2002-03-18T14:50:00Z,58.6,170.1
2002-03-18T14:51:00Z,61.69,173.97
2002-03-18T14:52:00Z,64.63,178.73
2002-03-18T14:53:00Z,67.35,184.66
2002-03-18T14:54:00Z,69.79,192.07
2002-03-18T14:55:00Z,71.81,201.3
2002-03-18T14:56:00Z,73.26,212.43
2002-03-18T14:57:00Z,74,225.1
2002-03-18T14:58:00Z,73.91,238.29
2002-03-18T14:59:00Z,73.02,250.7
2002-03-18T15:00:00Z,71.43,261.46
2002-03-18T15:01:00Z,69.32,270.29
2002-03-18T15:02:00Z,66.81,277.37
2002-03-18T15:03:00Z,64.04,283.03
2002-03-18T15:04:00Z,61.06,287.59
2002-03-18T15:05:00Z,57.95,291.3
2002-03-18T15:06:00Z,54.73,294.37
2002-03-18T15:07:00Z,51.43,296.94
2002-03-18T15:08:00Z,48.08,299.13
2002-03-18T15:09:00Z,44.68,301.02
2002-03-18T15:10:00Z,41.25,302.67
2002-03-18T15:11:00Z,37.78,304.13
2002-03-18T15:12:00Z,34.3,305.44
2002-03-18T15:13:00Z,30.8,306.62
2002-03-18T15:14:00Z,27.28,307.7
2002-03-18T15:15:00Z,23.75,308.69
